timestamp,fecha,hora,open,high,low,close,spread,fuerza_cuerpo,fuerza_mecha,score,rsi,ema,momentum,variacion,alcista,volumen_tick,spike_real,spike_anticipado,ganancia_esperada,duracion_estimada,operacion_exitosa
1751238480,06-29-25,23:08:00,16686.265,16686.265,16685.344,16685.344,0.921,0.921,0,0,67.77834008,16674.58022,-0.932,-5.58543E-05,0,60,0,0,0,0,0
1751238540,06-29-25,23:09:00,16685.311,16685.311,16684.426,16684.426,0.885,0.885,0,0,67.81437505,16676.37036,-0.918,-5.50183E-05,0,60,0,0,0,0,0
1751238600,06-29-25,23:10:00,16684.401,16684.401,16683.373,16683.373,1.028,1.028,0,0,67.91754355,16677.64356,-1.053,-6.31127E-05,0,60,0,0,0,0,0
1751238660,06-29-25,23:11:00,16683.335,16683.335,16682.373,16682.373,0.962,0.962,0,0,67.98132075,16678.50345,-1,-5.99399E-05,0,60,0,0,0,0,0
1751238720,06-29-25,23:12:00,16682.371,16682.371,16681.294,16681.294,1.077,1.077,0,0,67.70296229,16679.01082,-1.079,-0.000064679,0,60,0,0,0,0,0
1751238780,06-29-25,23:13:00,16681.293,16681.293,16680.33,16680.33,0.963,0.963,0,0,67.72864042,16679.25066,-0.964,-5.77893E-05,0,60,0,0,0,0,0
1751238840,06-29-25,23:14:00,16680.317,16680.317,16679.372,16679.372,0.945,0.945,0,0,67.900327,16679.27272,-0.958,-5.74329E-05,0,60,0,0,0,0,0
1751238900,06-29-25,23:15:00,16679.368,16679.368,16678.536,16678.536,0.832,0.832,0,0,67.93476882,16679.13876,-0.836,-5.01218E-05,0,60,0,0,0,0,0
1751238960,06-29-25,23:16:00,16678.528,16678.528,16677.552,16677.552,0.976,0.976,0,0,67.77662509,16678.85025,-0.984,-0.000058998,0,60,0,0,0,0,0
1751239020,06-29-25,23:17:00,16677.531,16677.531,16676.633,16676.633,0.898,0.898,0,0,67.80064292,16678.44711,-0.919,-0.000055104,0,60,0,0,0,0,0
1751239080,06-29-25,23:18:00,16676.615,16676.615,16675.642,16675.642,0.973,0.973,0,0,67.70638491,16677.93708,-0.991,-5.94245E-05,0,60,0,1,-4.065,3,0
1751239140,06-29-25,23:19:00,16675.617,16675.617,16674.632,16674.632,0.985,0.985,0,0,67.65337307,16677.33615,-1.01,-6.05674E-05,0,60,0,1,-5.075,2,0
1751239200,06-29-25,23:20:00,16674.624,16674.624,16673.755,16673.755,0.869,0.869,0,0,0,16676.68503,-0.877,-5.25949E-05,0,60,0,1,-5.952,1,0
1751239260,06-29-25,23:21:00,16673.728,16680.539,16673.669,16679.707,6.87,5.979,0.891,0.878893741,32.21999675,16677.23447,5.952,0.000356968,1,60,1,0,0,0,0
1751239320,06-29-25,23:22:00,16679.684,16679.684,16678.782,16678.782,0.902,0.902,0,0,32.23221055,16677.51584,-0.925,-5.54566E-05,0,60,0,0,0,0,0
1751239380,06-29-25,23:23:00,16678.777,16678.777,16677.802,16677.802,0.975,0.975,0,0,32.12435233,16677.56786,-0.98,-5.87573E-05,0,60,0,0,0,0,0
1751239440,06-29-25,23:24:00,16677.786,16677.786,16676.717,16676.717,1.069,1.069,0,0,32.06896552,16677.41315,-1.085,-6.50565E-05,0,60,0,0,0,0,0
1751239500,06-29-25,23:25:00,16676.704,16676.704,16675.93,16675.93,0.774,0.774,0,0,32.44127105,16677.14348,-0.787,-4.71915E-05,0,60,0,0,0,0,0
1751239560,06-29-25,23:26:00,16675.919,16675.919,16674.918,16674.918,1.001,1.001,0,0,32.56017505,16676.73884,-1.012,-6.06863E-05,0,55,0,0,0,0,0
1751239620,06-29-25,23:27:00,16674.913,16674.913,16673.838,16673.838,1.075,1.075,0,0,32.35485975,16676.21141,-1.08,-6.47679E-05,0,115,0,0,0,0,0
1751239680,06-29-25,23:28:00,16673.833,16673.833,16672.915,16672.915,0.918,0.918,0,0,33.96291013,16675.25898,-0.923,-5.53562E-05,0,119,0,0,0,0,0
1751239740,06-29-25,23:29:00,16672.892,16672.892,16671.815,16671.815,1.077,1.077,0,0,35.59382849,16674.2841,-1.1,-6.59753E-05,0,119,0,0,0,0,0
1751239800,06-29-25,23:30:00,16671.814,16671.814,16670.846,16670.846,0.968,0.968,0,0,37.93499044,16673.29168,-0.969,-0.000058122,0,119,0,0,0,0,0
1751259117,06-30-25,4:51:57,16631.196,16631.196,16631.158,16631.158,0.038,0.038,0,0,50,16631.158,0,0,0,3,0,0,0,0,0
1751259120,06-30-25,4:52:00,16631.131,16631.131,16630.098,16630.098,1.033,1.033,0,0,50,16630.96527,-1.06,-6.37358E-05,0,60,0,0,0,0,0
1751259180,06-30-25,4:53:00,16630.07,16630.07,16628.972,16628.972,1.098,1.098,0,0,50,16630.60286,-1.126,-6.77086E-05,0,60,0,0,0,0,0
1751259240,06-30-25,4:54:00,16628.953,16628.953,16627.94,16627.94,1.013,1.013,0,0,50,16630.1187,-1.032,-6.20604E-05,0,60,0,0,0,0,0
