epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas,futuro
1750239300.0,17390.018,17390.018,17389.018,17389.018,1.0,-1.007000000001426,-5.750425330209549e-05,-5.9268143108546696e-05,25.869740016083043,17392.643280610264,1.0,0.0,0.0,0.0,1.0,-3.120999999999185
1750239360.0,17389.017,17389.017,17387.976,17387.976,1.0410000000010768,-1.0420000000012806,-5.986537364366697e-05,-5.800694493383273e-05,25.94065792302814,17391.794677779362,1.0410000000010768,0.0,0.0,0.0,1.0,-3.117999999998574
1750239420.0,17387.933,17387.933,17386.839,17386.839,1.0940000000009604,-1.1369999999988067,-6.291719665591996e-05,-5.906855203151348e-05,25.626593033137095,17390.893639471346,1.0940000000009604,0.0,0.0,0.0,1.0,-3.13300000000163
1750239480.0,17386.833,17386.833,17385.897,17385.897,0.9359999999978754,-0.9419999999990978,-5.383384081493597e-05,-5.7967831742599046e-05,25.90306478450225,17389.985153447225,0.9359999999978754,0.0,0.0,0.0,1.0,-3.231999999999971
1750239540.0,17385.87,17385.87,17384.858,17384.858,1.0119999999988067,-1.0390000000006694,-5.820818860366532e-05,-5.8465770604056765e-05,25.98255626144501,17389.052937361434,1.0119999999988067,0.0,0.0,0.0,1.0,-3.1860000000015134
1750239600.0,17384.834,17384.834,17383.706,17383.706,1.1280000000006112,-1.1520000000018626,-6.488413981983442e-05,-5.994174790760458e-05,0.0,17388.08076016264,1.1280000000006112,0.0,0.0,0.0,1.0,-3.076999999997497
1750239660.0,17383.682,17383.682,17382.665,17382.665,1.0169999999998254,-1.0409999999974389,-5.850314104916469e-05,-5.9669301388704095e-05,0.0,17387.096069868905,1.0169999999998254,0.0,0.0,0.0,1.0,-3.0720000000001164
1750239720.0,17382.647,17382.647,17381.672,17381.672,0.9750000000021828,-0.993000000002212,-5.609042167180768e-05,-5.830394639188164e-05,0.0,17386.109868979172,0.9750000000021828,0.0,0.0,0.0,1.0,-3.0200000000004366
1750239780.0,17381.65,17381.65,17380.629,17380.629,1.0210000000006405,-1.0429999999978463,-5.874010810254724e-05,-5.928519984940393e-05,0.0,17385.113341474236,1.0210000000006405,0.0,0.0,0.0,1.0,-3.0
1750239840.0,17380.609,17380.609,17379.593,17379.593,1.0159999999996217,-1.0360000000000582,-5.845594938587144e-05,-5.933475200584511e-05,0.0,17384.10963684512,1.0159999999996217,0.0,0.0,0.0,1.0,-2.930000000000291
