epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750152840,17543.486,17543.486,17542.332,17542.332,1.154,-1.165,-6.57794E-05,-6.09726E-05,0,17552.53933,1.154,0,0,0,1
1750152900,17542.317,17542.317,17541.214,17541.214,1.103,-1.118,-6.28765E-05,-6.10677E-05,0,17550.48017,1.103,0,0,0,1
1750152960,17541.198,17541.198,17540.196,17540.196,1.002,-1.018,-5.71227E-05,-6.19831E-05,0,17548.61032,1.002,0,0,0,1
1750153020,17540.164,17540.164,17539.175,17539.175,0.989,-1.021,-5.63849E-05,-5.98551E-05,0,17546.8948,0.989,0,0,0,1
1750153080,17539.175,17539.175,17538.085,17538.085,1.09,-1.09,-6.21466E-05,-0.000060862,0,17545.29301,1.09,0,0,0,1
1750153140,17538.071,17538.071,17537.079,17537.079,0.992,-1.006,-5.65627E-05,-5.90187E-05,0,17543.79955,0.992,0,0,0,1
1750153200,17537.076,17537.076,17536.204,17536.204,0.872,-0.875,-4.97232E-05,-0.000056388,0,17542.41853,0.872,0,0,0,1
1750153260,17536.197,17536.197,17535.209,17535.209,0.988,-0.995,-5.63406E-05,-5.62316E-05,0,17541.1077,0.988,0,0,0,1
1750153320,17535.186,17535.186,17534.135,17534.135,1.051,-1.074,-5.99366E-05,-5.69419E-05,0,17539.83993,1.051,0,0,0,1
1750153380,17534.117,17534.117,17533.166,17533.166,0.951,-0.969,-5.42371E-05,-0.00005536,0,17538.62648,0.951,0,0,0,1
1750153440,17533.149,17533.149,17532.213,17532.213,0.936,-0.953,-5.33846E-05,-5.47244E-05,0,17537.46039,0.936,0,0,0,1
1750153500,17532.185,17532.185,17531.177,17531.177,1.008,-1.036,-5.74943E-05,-5.62786E-05,0,17536.31795,1.008,0,0,0,1
1750153560,17531.167,17531.167,17530.106,17530.106,1.061,-1.071,-6.05208E-05,-5.71147E-05,0,17535.1885,1.061,0,0,0,1
1750153620,17530.1,17530.1,17529.046,17529.046,1.054,-1.06,-6.01252E-05,-5.71524E-05,0,17534.07168,1.054,0,0,0,1
1750153680,17529.029,17529.029,17528.008,17528.008,1.021,-1.038,-5.82462E-05,-5.79542E-05,0,17532.96918,1.021,0,0,0,1
